EventStartDate,EventTitle,EventDescription,,,
7-Aug-14,Casualties Mount in Donetsk as Rebel Stronghold is Besieged,"The city of Donetsk is home to one of the last pockets of resistance mustered by pro-Russian insurgents. As the forces of the Ukrainian Anti-Terrorist Operation (ATO) close in, heavy artillery fire has driven the residents of the city indoors and claimed at least 4 peoples’ lives. Mortar fire and artillery shells struck a hospital as well as several residential areas in downtown Donetsk, both of which were near rebel artillery positions firing on ATO forces. Russian officials have warned that the area is on the brink of a humanitarian disaster. The rebels' situation is growing increasingly desperate, and fractures have begun to emerge in the ranks as self-proclaimed Prime Minister Aleksandr Borodai quits his office.

NATO officials have stated that they have deep concerns about Russia’s escalation of the conflict. One spokesman noted the possibility of Russia using “the pretext of a humanitarian or peace-keeping mission as an excuse to send troops into eastern Ukraine”. The West continues to stand behind Ukraine, with NATO Secretary General Anders Fogh Rasmussen pledging NATO’s support for Kiev. Canada has followed suit by providing non-lethal assistance to Ukraine, including a shipment of helmets, flak jackets, and first-aid kits. Meanwhile, Kiev’s Maidan Square was the scene of violent protests today in a grim reminder of the winter demonstrations that ousted Viktor Yanukovich. Volunteer workers trying to clear the barricades and tents were confronted by angry protestors before police attempted to disperse the crowd.",,,
17-Aug-14,Ukrainian Forces Push into Lugansk and Donetsk,"Ukraine’s Anti-Terrorist Operation (ATO) forces have recaptured the Zhovtnevy neighborhood in Lugansk, raising the blue-and-yellow flag over its police station. The same day, ATO soldiers reported that they had liberated the strategic village of Yasynuvata northeast of Donetsk. Lugansk and the surrounding area is suspected to be the conduit to the Russian border from where the insurgents receive most of their supplies, and they are fighting a desperate battle to retain control of the area. Rebel forces are still reaping a bloody toll as evidenced by an ATO MiG-29 fighter jet shot down over Lugansk.

Meanwhile, Ukraine has acknowledged that the 260 truck convoy from Russia is indeed carrying humanitarian aid; however delays persist over “basic technical details.” Additionally, the foreign ministers of Ukraine, Russia, Germany, and France met in Berlin to discuss “restarting the political process” to find a diplomatic conclusion to the Ukrainian Crisis.",,,
5-Sep-14,Cease-Fire Announced in Ukraine,"Following meetings in Minsk, Belarus between representatives of the Ukrainian government and the pro-Russian separatist forces, President Petro Poroshenko announced that a cease-fire has been reached in Ukraine. It is set to go into effect within hours at 6PM local time. The full details of the agreement have not yet been released, though reports indicate that the agreement consists of 14 points covering a range of issues including exchange of hostages, the creation of a humanitarian corridor, and other issues. According to reports, the exchange of captives is likely to begin tomorrow and a working group will meet on Monday to work through other issues relevant to the agreement, most importantly the political issues at place in eastern Ukraine.

In a statement, President Poroshenko said: “The entire world strives for peace, the entire Ukraine strives for peace, including millions of Donbas residents. The highest value is human life. We must do everything possible and impossible to terminate bloodshed and put an end to people's suffering.”

While Poroshenko stated that it is his hope that the cease-fire is observed by all sides, continued fighting around the port city of Mariupol and the comments of some rebel leaders have drawn the stability of the cease-fire into question. Igor Plotnitsky, a rebel leader in the Luhansk region, stated that “the ceasefire does not mean the end of (our) policy to split (from Ukraine).”",,,
6-Sep-14,Shelling of Mariupol Reportedly Resumes Despite Ceasefire,"Despite a ceasefire agreement signed yesterday, reports indicated that shelling resumed late Saturday night around the port city of Mariupol, which has been at the center of intense fighting in recent weeks. Witnesses indicated heavy explosions on the eastern outskirts of Mariupol and a BBC correspondent indicated that shelling ended between Saturday night and Sunday morning. Despite these purported violations of the ceasefire, both President Poroshenko and President Putin stated that the ceasefire is largely holding and expressed support for making it permanent in nature.",,,
20-Sep-14,Large Explosions in Donetsk after Buffer Zone Agreement,"During the “contact group” meeting in Minsk on Saturday representatives from Kiev and Moscow signed a new agreement with Pro-Russian separatists to create a 30 kilometer buffer zone and move artillery 15 kilometers from the front line on both sides, according to a Reuters report.

NATO General Philip Breedlove said he was “hopeful” about the new agreement, but added that the ceasefire was “in name only”. “The number of events, and the number of rounds fired and the artillery used across the past few days match some of the pre-ceasefire levels.”

The New York Times reported that just hours after the agreement in Minsk a dynamite factory in Donetsk was struck, causing two powerful explosions. The artillery strike was not a violation of the new agreement, however, because of a 24-hour grace period for implementation.",,,
4-Oct-14,Fighting Over Airport Kills 12 Separatists,"According to Ukrainian military officials, continued fighting over and around the Donetsk airport killed at least 12 pro-Russian separatist fighters on Saturday, adding to the rising death toll that poses a threat to the stability of the month-old ceasefire. Reportedly, the pro-Russian separatists attempted to storm the airport on Saturday, resulting in the casualties, though reports are unclear about to what degree the military remains in control of the airport.

Military spokesperson Andriy Lysenko stated that, “the airport of Donetsk remains the priority target for terrorists... twelve [separatists] were killed during the attacks and that is the biggest single loss among rebels since September 5,” the day the ceasefire was signed. Lysenko also deflected claims that the separatists had used gas as part of their assault, as had been reported in local media.",,,
26-Oct-14,Ukraine Elects New Parliament,"In elections broadly considered to have been free and fair, Ukrainians have voted strongly in favor of a pro-Russian reform agenda, granting electoral victories to President Petro Poroshenko’s bloc and the People’s Front headed by Prime Minister Arseniy Yatsenyuk. President Poroshenko, speaking in a statement, stated that “I asked you to vote for a democratic, reformist, pro-Ukrainian and pro-European majority. Thank you for having heard and supported this appeal.”

Poroshenko’s bloc took approximately 23 percent of the vote with People’s Front close behind with 21 percent. Another pro-Western political party, Self Reliance, took just over 13 percent. According to early exit polling, four other parties would clear the 5 percent hurdle necessary to enter parliament: the Opposition Bloc (7.6 percent), the Radical Party (6.4) led by Oleh Lyashko, Svoboda(6.3), and Fatherland (5.6) led by Yulia Tymoshenko.

According to reports, Poroshenko’s bloc, the People’s Front, and Self Reliance have begun talks on the creation of what President Poroshenko’s spokesperson called a “powerful democratic coalition in parliament.” Russian Foreign Minister Sergey Lavrov stated that Russia would recognize the results of the election, expressing hopes that Russia can work with the new government. He did note, however, that “this election took place, though not on all of Ukraine’s territory.""",,,
2-Nov-14,Separatists Hold Elections in Eastern Ukraine,"Voters in the separatist-controlled portions of eastern Ukraine went to the polls today for elections just a week after Ukraine elected a new parliament. According to the tallies released by the rebels, Aleksandr Zakharchenko, the Prime Minister of the self-proclaimed People’s Republic of Donetsk, will remain in power after winning 78 percent of the vote. Igor Plotnitsky, his counterpart in Luhansk, also retained his position, winning approximately 63 percent.

The European Union denounced the elections as “illegal and illegitimate” and an “obstacle on the path towards peace.” Ukrainian President Petro Poroshenko outlined Ukraine’s opposition to the vote, calling it a “farce” that stood in violation of the ceasefire agreement signed in Minsk. Russia, for its part, applauded the election and promised to respect the will of the people in the rebel-held regions.",,,
2-Dec-14,Donetsk Ceasefire Chances Dashed by Renewed Fighting,"While earlier today it was reported that pro-Russian rebels would reach a ceasefire with the Ukrainian military in Donetsk oblast, as they did in Luhansk, renewed fighting around the Donetsk airport has dashed hopes for such an agreement. According to the Ukrainian military, pro-Russian rebels with the support of Russian special forces began shelling government troops near the Donetsk airport despite an agreement in principle on a ceasefire that was reached earlier in the day. The military says that it continues to hold the airport despite an assault that has led to “heavy fighting” at the old terminal, according to military spokesperson Andriy Lysenko.",,,
13-Jan-15,"Fighting in Donetsk Intensifies, Shelling Kills 11","In recent days, the battle over the Donetsk airport and the broader Donetsk area has intensified and a stray artillery shell brought with it a reminder of the immense human toll of the conflict. Ukrainian authorities placed the blame for an artillery attack on a passenger bus, which led to at least 12 civilian deaths, on separatist forces. President Petro Poroshenko stated that “these deaths are on the conscience of the DNR and LNR gangs and on those who stand behind them,” referring to the People’s Republics of Donetsk and Luhansk, as well as their Russian supporters.

The artillery attack came just as negotiations in Berlin, which sought to end the crisis diplomatically, reached a stalemate and a planned summit meeting in Astana, Kazakhstan was shelved.",,,
22-Jan-15,Bus Stop Shelling Kills 13 People in Donetsk,"13 people were killed and many injured early in the morning as a result of a shelling of a bus stop in Donetsk. Although information about the number of victims varies, officials say that 12 of the victims were the passengers of a public trolleybus, and the thirteenth victim was found in a nearby vehicle. The attacked bus stop is located 20 kilometers away from Donetsk airport, where violent clashes took place forcing government troops to retreat from the area to avoid further casualties.

The attack followed the earlier efforts of the Normandy Format foreign ministers to reestablish ceasefire along the contact line, noted by the Minsk peace plan. Pro-Russian separatists, currently holding control over Donetsk, blamed government troops for the attack. The allegation was rejected by the Ukrainian military, as its forces were too far to be able to hit the bus stop . Russia’s Foreign Ministry blamed Kiev for the attack and called it a “crude provocation aimed at sabotaging efforts to reach a peaceful solution to the Ukrainian crisis.” Prime Minister Arseniy Yantenyuk, on the other hand, called the shelling “a horrible act against humanity,” committed by separatists. Although rebel forces denied their involvement, they provided conflicting information regarding the initiation place of the attack, which OSCE experts identified to be from northwestern direction.",,,
24-Jan-15,Rebels Reportedly Renew Focus on Mariupol,"A recent rash of shelling in and around the port city of Mariupol today has many, both in Ukraine and around the world, concerned about a possible expansion of the conflict in eastern Ukraine. Rebel leader Alexander Zakharchenko, who a day earlier formally pulled out of peace talks, stated that a new “offensive against Mariupol” was underway, calling it “the best possible monument to all our dead.” He refused, however, to take responsibility for shelling in Mariupol that killed at least 30 and injured nearly 100 more.

Analysts argue that Mariupol is a key strategic objective for any Russian and/or rebel strategy meant to establish a land-bridge between Russia proper and the annexed Crimean peninsula. Mariupol lies only miles south of Donetsk and around 200 miles along the coast from Crimea (see map at left).

Ukrainian President Petro Poroshenko convened his top military advisors today, ending early a trip to Saudi Arabia in order to respond to the rebel assault. Colonel Andriy Lysenko told journalists today that while the rebels “keep increasing the intensity of the situation,” they continue to stop short of “open attacks” against the city. The increase in tensions around Mariupol comes only days after the rebels won a major victory, taking full control of the Donetsk airport, which had been the focal point of the conflict for months.",,,
3-Jan-15,Breaking: Minsk Peace Talks Cancelled,"A round of peace talks scheduled to take place in Minsk today have been cancelled. According to a statement from rebel leader Denis Pushilin, the talks were cancelled due to the unwillingness of representatives from Kyiv to attend. However, Ukrainian representative laid the blame for the cancellation squarely on the rebels, who they said undertook a “cynical terrorist act” intended to disrupt the peace talks.",,,
4-Feb-15,"Report: Ukraine Rebels Capture Vuhlehirsk, Near Debaltseve","A report from Reuters today indicates that pro-Russian rebel forces have captured Vuhlehirsk, a town which lies west of the hotly contested city of Debaltseve. While the Ukrainian military continues to state that the town is contested, reports from the ground showed the rebel forces to be in control.

This apparent setback for Ukraine comes amidst a heated debate in Washington and a host of European capitals over the wisdom of providing lethal defensive aid to Ukraine. Earlier today, Polish Europe Minister Rafal Trzaskowski called on the EU to refrain, stating that “military solutions are completely off the table because we do not want to destabilise the situation any further .”

U.S. Vice President Joe Biden departed for meetings in Munich and Brussels that will take place later this week. The issue of increased security and financial assistance to Ukraine are expected to be high on his agenda.",,,
10-Feb-15,Ukrainian Forces Open New Front Around Mariupol,"The National Security and Defence Council of Ukraine announced early today that it has opened a new front around the port city of Mariupol. A spokesperson for the council stated that its forces have “broken through the enemy defenses and went on the offensive” east along the coast (see map at left), while other reports note that the offensive is primarily being led by the Azov battalion, an all-volunteer paramilitary group.

Elsewhere in eastern Ukraine, the pro-Russian separatist fighters have made a similar push to take the strategic rail hub of Debaltseve, while rocket fire attributed to (but then denied by) the rebels fell in Kramatorsk. The rebels have also stated that they will not cease the fighting until they have gained more territory.",,,
22-Feb-15,"Blast at Kharkiv Peace Rally Leaves Two Dead, 11 Injured","A rally commemorating the first anniversary of the Euromaidan movement in Kharkiv was violently interrupted by the detonation of a suspected improvised explosive device. The explosion, which claimed two lives and left nearly a dozen bystanders seriously injured, prompted a swift response from the Ukrainian National Security and Defense Council in the form of a “counterterrorism operation.” Within a matter of hours, Ukrainian authorities had detained four suspects in connection to the act; according to an anonymous source within the Ukrainian SBU security serve, the men allegedly “underwent instruction and received weapons” in the Russian city of Belgorod.",,,
18-Jul-15,Deadly Day in Ukraine as Diplomats Discuss Situation,"Four civilians and one soldier were reported killed in shelling in Ukraine ""following a week of the deadliest fighting in over a month,""as both pro-Russian seperatists and the Ukrainian military accused each other of violating the Minsk cease-fire agreement. While the Organization for Security and Cooperation in Europe (OSCE) has noted that both sides have violated the cease-fire, ""Alexander Zakharchenko, leader of the Donetsk rebels, said Saturday his forces are ready to pull back their tanks and armored vehicles with weapons under 100mm 3 kilometers (1.8 miles) from the front line except in problem areas.""

As the situation deteriorated, Russian foreign minister Sergei Lavrov spoke with his counterparts in the US, Germany, and Ukraine. During his discussions with Foreign Minister Pavlo Klimkin of Ukraine and Frank-Walter Steinmeier of Germany, Lavrov called for the ""demilitarisation of the flashpoint Shyrokine village."" When speaking with Secretary of State John Kerry, Lavrov emphasized that Kiev ""cannot simply walk away"" from engaging with Donetsk and Luhansk directly, as he said it pledged to do so in the agreement at Minsk.",,,
10-Aug-15,Heaviest Shelling Since February Reported in Eastern Ukraine,"The Ukrainian military reported that around 400 rebel fighters, supported by tanks and armored personnel carriers, attacked government-held positions near the village of Starohnativka in Donetsk region. ""Thanks to the taken measures, resolute and professional activity of the 72nd mechanized brigade, the enemy was stopped and repelled by two-three kilometers back… Our units have taken key heights, which were previously controlled by terrorist groups. The enemy has suffered considerable casualties and lost military hardware,"" the report said. Ukrainian military spokesman Andriy Lysenko said that over the previous 24 hours one servicemen was killed, one went missing, and 16 were wounded. The rebels denied the attack, accusing Kyiv of carrying out the assault.",,,
16-Aug-15,Shelling Rocks Outskirts of Mariupol,"Fighting is moving gradually closer to the strategically vital port of Mariupol along the Black Sea Coast, as shelling by pro-Russian seperatists struck targets on Sunday night within the village of Sartana, 20 kilometers to Mariupol's east. Two civilians were killed and a young child wounded by the assault.

German foreign minister Frank-Walter Steinmeier called the situation in Ukraine “explosive” and warned of a possible “a new military escalation spiral.” Steinmeier made clear that Germany would like to see a return to the peace process by both parties to the conflict as soon as possible.

In other news, a U.S. Department of Defense plan to dramatically expand U.S. drone flights around the world would include an increase in flights over Ukraine, according to reports. Top U.S. military officials with responsibility for Europe, including Philip Breedlove, have lamented the lack of resources dedicated to drones in that part of the world.",,,
31-Aug-15,Rada Backs Decentralization in First Reading as Bombing Injures 100,"During a contentious session marred by protests and a bombing, Ukraine’s parliament voted today in support of the first reading of decentralization legislation that would amend the country’s constitution and devolve significant powers to the pro-Russian regions of eastern Ukraine. The decentralization legislation, which if passed would create a special law on local government in the separatist-controlled regions of Donetsk and Luhansk, has the support of president Petro Poroshenko’s political bloc and much of his government. Volodymyr Hroysman, the speaker of the Rada, stated clearly, however, that it would not constitute “special status” for these regions (a separate law would be needed to determine status). The implementation of some form of decentralization law was a key element of the Minsk II agreement that was negotiated in February.

The decentralization bill passed on its first reading with 265 votes, though Poroshenko will ultimately need the support of 300 legislators to amend the constitution. Many analysts believe that it will be very difficult for Poroshenko to marshal that level of support, especially since some of his coalition allies in Parliament opposed the bill on its first reading.

The vote was accompanied by protests outside of parliament led by nationalist groups (in particular Svoboda) that opposed the decentralization legislation. Following the announcement that the bill passed on its first reading, clashes between police and protestors reportedly escalated and an explosive device was hurled at the police. Approximately 100 members of the police and National Guard were injured, according to the Interior Ministry.",,,
11-Sep-15,No Shelling in Ukraine,"Today was the first day in nearly eighteen months that the shelling in eastern Ukraine was halted completely. Ukrainian president Petro Poroshenko noted this figure during his speech today at a security conference in Kyiv, saying that “the cease-fire is in place for almost two week and is not a dream anymore” and that he will continue to push for the Minsk II accord to be implemented fully. It is important to note that, despite the absence of shelling, two Ukrainian soldiers were killed after their patrol struck a mine near Donetsk.",,,
23-Sep-15,"Azov Battalion Storms Kharkiv Town Hall, Clashes with Police","At least 200 alleged members of the nationalist Azov battalion, wearing camouflage and balaclavas, stormed Kharkiv’s main administration building on Wednesday. Clashing with local police, the group called on members to get rid of “accomplices to occupiers” (Kernes) and demanded Dobkin to “go and live in Moscow.""

Tensions arose after pro-Kyiv groups proposed to name a Kharkiv street after the Heavenly Hundred, those killed during the EuroMaidan Revolution. Dobkin, on the other hand, put forward a counter argument calling for a street to be named after the Berkut officers, those allegedly behind the Maidan killings. Kernes had been Kharkiv’s mayor since 2010 and had switched sides from strongly supporting the former pro-Russian President Yanukovich to now supporting the new pro-EU government of Poroshenko.

On another note, Russia is reportedly planning on building a second big military base in Boguchar, Voronezh (45km from the Ukrainian border), and will complement an even closer base that began construction last month in the same area. It is said to be a permanent station that will house 5,000 troops and at least 1,200 armored vehicles and associated maintenance capability and ammunition.",,,
,,,,,
,,,,,
,,,,,
,,,,,
